id,project_id,name,category,start,end,progress,contractor,status,dependencies,memo,source,is_manual_edited
T-001,P-2026-001,現地調査,事前準備,2026-05-10,2026-05-11,100,社内,完了,,敷地・搬入経路確認,sample,FALSE
T-002,P-2026-001,図面確認・材料手配,事前準備,2026-05-11,2026-05-15,70,社内,進行中,T-001,建具・設備品番確認,sample,FALSE
T-003,P-2026-001,足場設置,仮設,2026-05-16,2026-05-17,0,足場業者A,未着手,T-002,道路使用確認,sample,FALSE
T-004,P-2026-001,基礎工事,大工,2026-05-18,2026-05-28,0,基礎業者B,未着手,T-003,天候で前後の可能性あり,sample,FALSE
T-005,P-2026-001,木工事,大工,2026-05-29,2026-06-15,0,大工チームC,未着手,T-004,上棟含む,sample,FALSE
T-006,P-2026-001,電気工事,電気,2026-06-08,2026-06-18,0,電気業者D,未着手,T-005,木工事と一部重なりあり,sample,FALSE
T-007,P-2026-001,水道工事,水道,2026-06-10,2026-06-20,0,設備業者E,未着手,T-005,電気工事と同時期,sample,FALSE
T-008,P-2026-001,クロス工事,内装,2026-06-21,2026-06-27,0,内装業者F,未着手,"T-006,T-007",面積に応じて工期調整,sample,FALSE
T-009,P-2026-001,設備取付,設備,2026-06-25,2026-07-01,0,設備業者E,未着手,T-008,クロス後半と一部重なり,sample,FALSE
T-010,P-2026-001,美装・施主確認,確認,2026-07-02,2026-07-05,0,社内,未着手,T-009,最終確認・是正対応含む,sample,FALSE
